Date;BTC amount;Channel;Recipient;USD amount
2018-04-25 18:13:57;0.0007;Count Dankula;[PubkeyHashAddress(1K7dCVRCUiCpzTqqQJAnnVt9TfipQQuBnH), WitnessPubkeyAddress(bc1qpcn85lykdkkc8hw30e95xmeu27zzuxqcc6p5uh)];6.2048612499999996
2018-04-26 20:38:03;0.01035696;Count Dankula;[PubkeyHashAddress(16soSXTvFqerZayRueQvpn1z4bndEAZ8sg), WitnessPubkeyAddress(bc1qr6sn52frld04eh5fssqapa7q9ds5eupdg8mfaq)];96.1022059476
2018-04-30 18:44:45;0.0005;Count Dankula;[PubkeyHashAddress(14J42kGpicZF1YhjdNZDCUFi7QbUcbRyDb), WitnessPubkeyAddress(bc1q73s7z4vp577mtx7hs30lp5grskn04g8wwez4ye)];4.62216125
2018-05-02 16:47:06;0.00030234;Count Dankula;[PubkeyHashAddress(1beFeGLfdoUMqud9uidczyFZ5tVt6JmZP), WitnessPubkeyAddress(bc1q7hd55jgqsd49ean7w50drzz2za878807hnsyjc)];2.787533621292
2018-05-09 03:37:52;0.0022;Count Dankula;[ScriptHashAddress(3B3oTfLpH3JM4nZ2VKxtzWDJkqXYQDxZBg), WitnessPubkeyAddress(bc1ql5ha7m6rrkmaqq6qvnfvvek3cns8pjcjg4r8ms)];20.473200000000002
2018-06-12 21:55:49;2e-05;Count Dankula;[ScriptHashAddress(3FNUSNWVptE56qkhNRXdiySQz1jWgx6vpR), WitnessPubkeyAddress(bc1qj58xsw4jswsfkdyv5ywz5z9xkucwltqty0cngg)];0.13096660000000002
2018-03-02 04:04:48;0.0045;Count Dankula;[ScriptHashAddress(39EXfiH54trYcLUvW1b1sjUwFGTgJfsXyZ), WitnessPubkeyAddress(bc1qd56zqhlz8qt3c9uuh5ta82taagmfl6hx90f8zx)];49.58784585
2018-03-23 10:08:35;0.00164;Count Dankula;[WitnessPubkeyAddress(bc1qf5uy2g2uaps7umx0yyqzqsscf05qhjp6em2ulg), ScriptHashAddress(3KE6V27aB8oD4QWCWHKyfoNUferBxjFPXm)];14.626739832
2018-01-12 05:47:42;0.00085973;PeterSweden;[ScriptHashAddress(339K8VZ7pmkxAU1AkBPhEuGmsDq8gf1HGw), PubkeyHashAddress(18gY2PPQGPUdi3qhp17uR53eAXgeASSn5t)];11.87520546695
2018-01-14 15:48:52;0.0011;PeterSweden;[PubkeyHashAddress(1Dh5nRCLArRy4n8mpzDYYquaiJiyGnFofC), PubkeyHashAddress(1NwG2tTq1QA2htJiguNtqJt37Mfnb9VbQq)];14.980931680000001
2018-01-14 19:37:58;0.00514791;PeterSweden;[PubkeyHashAddress(1LdnYuPZd58f7tXyuKSy92grEnY3YJJvur), PubkeyHashAddress(13t9AaMNBfkTHLUyuNDbYyUDpMnSfFW9bC)];70.109534549808
2018-01-17 20:14:28;0.1;PeterSweden;[PubkeyHashAddress(1DKsiq2XTdd56w1HsUREyanXinaLwinxuy), PubkeyHashAddress(1M9x114szFfLhDo5TV5yVG5CugZwjsogUE)];1114.12488
2018-04-24 03:29:46;0.00056504;PeterSweden;[PubkeyHashAddress(1Cu4yATqJomysPJ9Ax6xdQTvfMZsDdJcNm), WitnessPubkeyAddress(bc1qa2ggawm3d77rrrp3nzwyd2f4yg387y6q2h35pl)];5.453854395752001
2017-12-09 02:16:55;0.05;Apollonian Germ;[PubkeyHashAddress(1AKAaAqFkWMbHxbvAT4jBnPXzLzc9ZqEdm), PubkeyHashAddress(1NDeFhehH7NZYy9GMLnVJFsoAmGKxTdnDW)];745.67019
2017-07-07 09:36:00;0.03;Black Pilled;[PubkeyHashAddress(1EwHX7mj2taVkMKFTiZffAUPgUadufFRnX), PubkeyHashAddress(158Wke81YYxs5FGacR5vyFNez1zkeTYw6m)];75.637089
2017-11-01 06:13:01;0.00010171;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];0.686560044975
2017-11-01 06:13:01;0.00011187;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];0.755141797575
2017-11-01 06:13:01;7.865e-05;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];0.530901067125
2017-11-01 06:13:01;0.00032361;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];2.184423322725
2017-11-01 06:13:01;8.666e-05;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];0.58496994885
2017-11-01 06:13:01;3.203e-05;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];0.216208025175
2017-11-01 06:13:01;8.961e-05;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];0.604882957725
2017-11-01 06:13:01;6.64e-05;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];0.448211454
2017-11-01 06:13:01;6.922e-05;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];0.46724694045000004
2017-11-01 06:13:01;8.082e-05;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];0.54554894145
2017-11-01 06:13:01;0.00044996;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];3.0373076181
2017-11-01 06:13:01;8.386e-05;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];0.56606946585
2017-11-01 06:13:01;0.00013133;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];0.886500154425
2017-11-01 06:13:01;0.00033697;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];2.274605627325
2017-11-01 06:13:01;9.093e-05;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];0.6137931854249999
2017-11-01 06:13:01;6.712e-05;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];0.45307157819999994
2017-11-01 06:13:01;7.918e-05;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];0.53447865855
2017-11-01 06:13:01;0.00023615;Black Pilled;[PubkeyHashAddress(1BWUwtmVpvZ6JumpB77gkdNg8VtS21fgpc)];1.594053235875
