epoch,date,transaction
1385024009,11/21/13,0
1385110409,11/22/13,0
1385196809,11/23/13,0
1385283209,11/24/13,0
1385369609,11/25/13,0
1385456009,11/26/13,0
1385542409,11/27/13,0
1385628809,11/28/13,0
1385715209,11/29/13,0
1385801609,11/30/13,0
1385888009,12/01/13,0
1385974409,12/02/13,0
1386060809,12/03/13,0
1386147209,12/04/13,0
1386233609,12/05/13,0
1386320009,12/06/13,0
1386406409,12/07/13,0
1386492809,12/08/13,0
1386579209,12/09/13,0
1386665609,12/10/13,0
1386752009,12/11/13,0
1386838409,12/12/13,0
1386924809,12/13/13,0
1387011209,12/14/13,0
1387097609,12/15/13,0
1387184009,12/16/13,0
1387270409,12/17/13,0
1387356809,12/18/13,0
1387443209,12/19/13,0
1387529609,12/20/13,0
1387616009,12/21/13,0
1387702409,12/22/13,0
1387788809,12/23/13,0
1387875209,12/24/13,0
1387961609,12/25/13,0
1388048009,12/26/13,0
1388134409,12/27/13,0
1388220809,12/28/13,0
1388307209,12/29/13,0
1388393609,12/30/13,0
1388480009,12/31/13,0
1388566409,01/01/14,0
1388652809,01/02/14,0
1388739209,01/03/14,0
1388825609,01/04/14,0
1388912009,01/05/14,0
1388998409,01/06/14,0
1389084809,01/07/14,0
1389171209,01/08/14,0
1389257609,01/09/14,0
1389344009,01/10/14,0
1389430409,01/11/14,0
1389516809,01/12/14,0
1389603209,01/13/14,0
1389689609,01/14/14,0
1389776009,01/15/14,0
1389862409,01/16/14,0
1389948809,01/17/14,0
1390035209,01/18/14,0
1390121609,01/19/14,0
1390208009,01/20/14,0
1390294409,01/21/14,0
1390380809,01/22/14,0
1390467209,01/23/14,0
1390553609,01/24/14,0
1390640009,01/25/14,0
1390726409,01/26/14,0
1390812809,01/27/14,0
1390899209,01/28/14,0
1390985609,01/29/14,0
1391072009,01/30/14,0
1391158409,01/31/14,0
1391244809,02/01/14,0
1391331209,02/02/14,0
1391417609,02/03/14,0
1391504009,02/04/14,0
1391590409,02/05/14,0
1391676809,02/06/14,0
1391763209,02/07/14,0
1391849609,02/08/14,0
1391936009,02/09/14,0
1392022409,02/10/14,0
1392108809,02/11/14,0
1392195209,02/12/14,0
1392281609,02/13/14,0
1392368009,02/14/14,0
1392454409,02/15/14,0
1392540809,02/16/14,0
1392627209,02/17/14,0
1392713609,02/18/14,0
1392800009,02/19/14,0
1392886409,02/20/14,0
1392972809,02/21/14,0
1393059209,02/22/14,0
1393145609,02/23/14,0
1393232009,02/24/14,0
1393318409,02/25/14,0
1393404809,02/26/14,0
1393491209,02/27/14,0
1393577609,02/28/14,0
1393664009,03/01/14,0
1393750409,03/02/14,0
1393836809,03/03/14,0
1393923209,03/04/14,0
1394009609,03/05/14,0
1394096009,03/06/14,0
1394182409,03/07/14,0
1394268809,03/08/14,0
1394355209,03/09/14,0
1394441609,03/10/14,0
1394528009,03/11/14,0
1394614409,03/12/14,0
1394700809,03/13/14,0
1394787209,03/14/14,0
1394873609,03/15/14,0
1394960009,03/16/14,0
1395046409,03/17/14,0
1395132809,03/18/14,0
1395219209,03/19/14,0
1395305609,03/20/14,0
1395392009,03/21/14,0
1395478409,03/22/14,0
1395564809,03/23/14,0
1395651209,03/24/14,0
1395737609,03/25/14,0
1395824009,03/26/14,0
1395910409,03/27/14,0
1395996809,03/28/14,0
1396083209,03/29/14,0
1396169609,03/30/14,0
1396256009,03/31/14,0
1396342409,04/01/14,0
1396428809,04/02/14,0
1396515209,04/03/14,0
1396601609,04/04/14,0
1396688009,04/05/14,0
1396774409,04/06/14,0
1396860809,04/07/14,0
1396947209,04/08/14,0
1397033609,04/09/14,0
1397120009,04/10/14,0
1397206409,04/11/14,0
1397292809,04/12/14,0
1397379209,04/13/14,0
1397465609,04/14/14,0
1397552009,04/15/14,0
1397638409,04/16/14,0
1397724809,04/17/14,0
1397811209,04/18/14,0
1397897609,04/19/14,0
1397984009,04/20/14,0
1398070409,04/21/14,0
1398156809,04/22/14,0
1398243209,04/23/14,0
1398329609,04/24/14,0
1398416009,04/25/14,0
1398502409,04/26/14,0
1398588809,04/27/14,0
1398675209,04/28/14,0
1398761609,04/29/14,0
1398848009,04/30/14,0
1398934409,05/01/14,0
1399020809,05/02/14,0
1399107209,05/03/14,0
1399193609,05/04/14,0
1399280009,05/05/14,0
1399366409,05/06/14,0
1399452809,05/07/14,0
1399539209,05/08/14,0
1399625609,05/09/14,0
1399712009,05/10/14,0
1399798409,05/11/14,0
1399884809,05/12/14,0
1399971209,05/13/14,0
1400057609,05/14/14,0
